Firma,Startdatum
AFW Holding,20260101
Benz Werkzeug*,20260101
Chiron Group,20260101
Nicolas Correa,20260101
Danobat,20260101
Deckel Maho,20260101
Dmg Mori,20260101
Doosan mach*,20260101
Emag Gmbh,20260101
Etxe* Tar,20260101
FFG Werk*,20260101
Fill Gesell*,20260101
Fundacion Tekniker,20260101
Gebr Heller,20260101
Maher Holding,20260101
GF Machining,20260101
Gildemeister,20260101
gmtk,20260101
Grob Werk*,20260101
Hamuel,20260101
Hardinge,20260101
Hedelius,20260101
Heinrich Georg Gmbh,20260101
*Hermle* berthold,20260101
Horkos,20260101
Hüller Hille,20260101
Hurco,20260101
Index Werke,20260101
Kitamura Mach*,20260101
MAG IAS,20260101
Makino Milling,20260101
Matec Gmbh,20260101
Yamazaki Mazak,20260101
Murata Mach*,20260101
Nakamura Tome,20260101
NSH,20260101
Okuma Corp*,20260101
Pittler T*,20260101
Präwema,20260101
Promot Auto*,20260101
Kolibri Beteil*,20260101
Schwäbische Werkzeug*,20260101
SHW Werkzeug*,20260101
Soraluce,20260101
Stama Maschinen*,20260101
Starrag,20260101
Takisawa mach*,20260101
Waldrich Siegen,20260101
J.G. Weisser,20260101
WIA Hyundai,20260101
